ticker,origem,setor,investment,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,roe_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,market_cap,pl,pvp,dy,roe,roic,mrg_liq,div_liq_ebitda,liq_corr,div_patrim,peg,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_medio,teto_mediana,teto_upside_pct,teto_upside_media_pct,strategy,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
CURY3,SMALL11,Real Estate,69.53,90.51,35.72,65.79,93.18,11,Não,5,7,False,True,True,True,True,False,,True,False,9780510720.0,9.1,6.27,13.35,68.95,37.57,18.37,,1.94,0.71,0.27,31.75,70.64,54.46,44.83,19.94,104.67,58.91,54.46,71.53,85.54,,Em Baixa,33.59000015258789,-5.477821209376,-22.647386529034552,True,False,False,sem sinal (-5.5% do topo; Em Baixa)
JHSF3,SMALL11,Real Estate,68.42,83.66,56.76,63.93,62.12,12,Não,4,7,False,True,True,False,True,False,,True,False,7287163904.0,3.98,1.08,6.04,27.12,12.14,53.01,,1.92,0.74,0.77,10.930000305175781,11.0,7.67,31.92,25.01,30.87,21.29,25.01,128.79,94.83,,Lateral,11.33961009979248,-3.6122035150414455,-22.776356065414948,True,False,False,sem sinal (-3.6% do topo; Lateral)
EZTC3,SMALL11,Real Estate,67.61,55.69,56.35,92.99,84.09,13,Não,2,7,False,False,False,False,True,False,,True,False,3089779712.0,5.65,0.62,10.06,10.89,5.88,37.12,,8.52,0.33,0.2,11.140000343322754,18.68,14.4,25.33,28.23,59.15,29.16,25.33,127.41,161.75,,Em Baixa,12.729999542236328,-12.490174831807199,-32.856783777330364,True,False,False,sem sinal (-12.5% do topo; Em Baixa)
WIZC3,SMALL11,Financial Services,67.05,84.6,43.75,,72.73,14,Não,4,6,False,True,True,True,,False,,True,False,1311239680.0,6.77,1.91,7.64,28.26,34.87,14.43,,,,,8.199999809265137,10.44,6.36,12.29,10.82,,9.98,10.63,29.62,21.66,,Lateral,8.520000457763672,-3.7558759542899,-18.102801838201454,True,False,False,sem sinal (-3.8% do topo; Lateral)
PETR4,BOVA11,Energy,67.03,82.65,69.89,34.52,68.18,15,Não,5,7,False,True,True,True,True,False,,True,False,580698177536.0,5.16,1.25,6.9,24.17,16.79,21.6,,0.74,0.83,,42.5,48.88,29.75,83.57,79.38,,60.39,64.13,50.89,42.1,,Em Alta,43.41999816894531,-2.118835116863982,-13.543959364959047,True,False,False,sem sinal (-2.1% do topo; Em Alta)
CYRE3,BOVA11,Consumer Cyclical,66.59,61.67,53.27,80.89,85.61,16,Não,4,7,False,True,True,False,True,False,,True,False,7821505536.0,4.93,0.92,10.75,18.6,6.91,20.76,,3.78,0.75,,21.350000381469727,38.25,23.29,43.94,47.55,,38.26,41.1,92.49,79.19,,Em Baixa,22.959999084472656,-7.012189752619536,-40.719387643110174,True,False,False,sem sinal (-7.0% do topo; Em Baixa)
LREN3,BOVA11,Consumer Cyclical,66.11,70.01,57.48,72.4,65.91,17,Não,6,7,False,True,True,True,False,True,,True,True,13140741120.0,9.34,1.35,6.58,14.41,23.76,9.37,,1.78,0.28,0.4,13.670000076293945,14.99,11.56,18.81,18.26,43.59,21.44,18.26,33.58,56.84,,Em Baixa,14.289999961853027,-4.338697601218778,-21.08023573257425,True,False,False,sem sinal (-4.3% do topo; Em Baixa)
DIRR3,SMALL11,Real Estate,66.11,74.09,43.54,66.85,91.67,18,Não,4,7,False,True,True,False,True,False,,True,False,6078843904.0,7.3,2.87,13.19,39.35,10.1,18.16,,4.26,1.3,0.25,11.6899995803833,25.7,19.81,20.58,12.11,48.04,25.25,20.58,76.01,115.98,,Em Baixa,12.989999771118164,-10.007699874062126,-32.262810857129075,True,False,False,sem sinal (-10.0% do topo; Em Baixa)
CEAB3,SMALL11,Consumer Cyclical,66.03,63.6,80.84,56.14,55.3,19,Não,4,7,False,True,True,True,False,False,,True,False,2916127488.0,5.16,0.81,5.33,15.79,14.68,7.32,,1.67,0.74,,9.720000267028809,8.63,5.26,19.11,22.55,,13.89,13.87,42.73,42.89,,Em Baixa,10.479999542236328,-7.25190179774896,-46.22128042577811,True,False,False,sem sinal (-7.3% do topo; Em Baixa)
INTB3,SMALL11,Industrials,65.49,72.94,42.15,88.0,64.77,20,Rompimento,5,7,False,True,True,True,False,False,,True,True,4914711040.0,8.06,1.46,6.25,18.07,17.52,13.1,,2.64,0.26,0.56,15.020000457763672,15.65,12.06,23.94,20.77,38.3,22.14,20.77,38.28,47.42,Rompimento,Lateral,14.384364128112793,4.418939370483477,-4.081037600189341,True,True,True,Rompimento
